,Intercept,MODE[T.STANDARD],MACHINE[T.RevEVO],MACHINE[T.zIngCT],MACHINE[T.RevEVO]:MODE[T.STANDARD],MACHINE[T.zIngCT]:MODE[T.STANDARD],CURR,MACHINE[T.RevEVO]:CURR,MACHINE[T.zIngCT]:CURR,VOLT,MACHINE[T.RevEVO]:VOLT,MACHINE[T.zIngCT]:VOLT,FOV
original_firstorder_Skewness_Complete,3.028708847403445e-58,0.00021018449804419137,0.9489683544212522,1.1140724044218343e-05,0.1754842119951491,0.0007289890598245908,0.4709966292548823,0.9371112638002617,0.4735119818130177,0.06733712811470795,0.14269438874421408,3.895558934582037e-06,9.851448325483023e-13
original_firstorder_TotalEnergy_Complete,1.109668266445105e-32,0.009094141512535209,0.5655270634915972,0.6082686227462413,0.035019727567579484,0.025609732586204075,0.9558631290801132,0.9265133386603508,0.9944681598490206,3.0529932316563004e-18,0.9805595806069773,0.22683473322371886,2.7466931295294684e-05
original_firstorder_Uniformity_Complete,0.0,1.7856668696454053e-13,0.23150402081699828,7.0920352105859774e-09,0.02958045068400979,1.422039858429571e-20,0.6259195086469407,0.4723740451120807,0.38419815348586894,3.9617094741008486e-19,0.0005728975362380399,2.4733628733626688e-11,5.675354084129602e-23
original_firstorder_Variance_Complete,9.572442147698154e-26,2.4470680266509614e-05,0.7236373806778311,0.0002630378818588696,0.003246431511094518,0.0001185575899447509,0.9674273168886383,0.884472702343426,0.8950417059910089,3.081442978216501e-11,0.23629313996698287,3.4217248511372574e-05,0.0002471095035068916
original_glcm_Autocorrelation_Complete,1.986472423430208e-07,5.234253615729763e-09,0.21585763405978467,4.0940030004872496e-07,0.01967495326640565,2.6341204630298536e-05,0.6530051356700217,0.3089721775755706,0.45317919123695094,0.5843294909495104,0.17580946946816917,4.6348655849717926e-07,0.00022061887208104074
original_glcm_ClusterProminence_Complete,8.173978425940384e-17,0.026841573442170318,0.7603024018493287,0.10043360682825772,0.043422448063852974,0.043486846334929656,0.909178045570425,0.9162639932174819,0.9507746179587884,2.20963005028525e-13,0.8986099014149888,0.03463528629252088,0.02407830609902496
original_glcm_ClusterShade_Complete,9.397823712376171e-25,0.002032831531093737,0.892592681151646,0.15014921337503329,0.0036700354401240213,0.012396281436719746,0.8374244389150476,0.886270247241941,0.9842792159877854,3.0490900780462225e-17,0.42790563547095695,0.04545053319495718,0.04431361099282047
original_glcm_ClusterTendency_Complete,6.838226957943341e-31,0.0009511183908070047,0.8899626381678252,0.031220168045888393,0.007578805256382459,0.0016393545704471322,0.9273683161933557,0.9061539803376493,0.9358704991440172,1.0947807902593103e-15,0.47447556428525306,0.004440080408415548,0.00027837190606148243
original_glcm_Contrast_Complete,1.790751583310774e-06,1.509792399806173e-06,0.2598890804768534,3.2281632833136177e-07,0.006601269179486592,5.53606649921783e-05,0.9392913885203044,0.8971958575233642,0.8363094353700976,0.2131665704920133,0.07768303552351633,1.4225405980867845e-07,0.0020429396679442816
original_glcm_Correlation_Complete,0.0,8.190937994940658e-33,0.05916471734611729,1.0113554493424545e-10,1.1292441090933015e-07,7.143480528660805e-16,0.7810065827298943,0.7247756324192425,0.6634904450026995,0.0003921822452188597,0.027421945010647347,2.444529643278516e-07,0.00020878978617506943
original_glcm_DifferenceAverage_Complete,2.0980125961531879e-22,3.138096036647663e-14,0.16452359144135154,2.9000335206079487e-09,1.6997248354276858e-05,1.1867511660345844e-07,0.8055682237945472,0.758220136041668,0.6715477025131764,0.11194364197485669,0.018708345739107186,1.4979598967200676e-09,3.5064552923567265e-06
original_glcm_DifferenceEntropy_Complete,1.0558470272964615e-79,1.1567536188791892e-29,0.0211344824808729,2.8480518615541747e-12,4.4002743098483936e-13,5.110846212056874e-14,0.656715879012943,0.5153971677175612,0.5505154668589014,0.003146087687661683,0.00015837499813054328,1.5769344949369777e-12,2.5700015548365255e-11
original_glcm_DifferenceVariance_Complete,6.476019393058158e-10,7.850181507645677e-09,0.08215181065232244,1.1730293698463714e-07,0.00033200833371108124,2.6888613697666437e-06,0.994174361453799,0.9084004308638159,0.9460193167135806,0.04485060038720069,0.012745690109562616,6.609168733266376e-08,0.004056362649171157
original_glcm_Id_Complete,0.0,1.831567378972219e-99,0.01108707463367545,3.066241917150038e-20,2.0833160988246974e-19,9.755680647111355e-31,0.24582824755316668,0.2711707534965492,0.2909475473043629,0.006619694570793253,6.943033055116983e-06,1.4526775074429638e-20,2.3454901178203264e-26
original_glcm_Idm_Complete,0.0,3.0512170736245857e-114,0.005574283571997847,7.41064559947749e-20,1.362150974969278e-20,4.246352812559194e-36,0.16182812585908857,0.21084384912702625,0.24724417034223356,0.0037794990790240694,1.5132374162887499e-06,2.880926535815414e-20,2.4990670002186596e-30
original_glcm_Idmn_Complete,0.0,1.957167641034087e-27,0.060318489603210027,5.179701310242013e-05,7.514308286958243e-14,0.11156234968484315,0.6902366126141972,0.3971485364989509,0.3632839097642804,0.00013235626106490952,0.0023613142581973764,6.765040517519217e-06,0.8720277733862952
original_glcm_Idn_Complete,0.0,9.458400307481484e-39,0.057055597723105575,2.5997586381558383e-09,1.0836277875486538e-12,0.0018898272956133781,0.4296236637983951,0.7407106272050011,0.8136356893941448,1.6645524497117034e-05,0.0006187143126468536,6.63807225706547e-11,0.0009694753025907393
original_glcm_Imc1_Complete,0.0,4.46367482862721e-160,0.00021748183489455163,3.807968337900382e-17,1.9220421263038092e-31,2.7326135436958185e-13,0.35333986903248615,0.323737689249342,0.5213853713695276,5.102407083610547e-08,2.2755574403276104e-06,1.880088877791271e-15,1.3045184764073309e-09
original_glcm_Imc2_Complete,0.0,3.9940146041444644e-39,0.07568289409688637,8.939244316471368e-11,1.5895832348628074e-06,2.4242108562682282e-17,0.6516360728023725,0.5304571675135752,0.5130253773123592,0.00030460050932433773,0.03663626477197347,2.387282414567033e-07,7.308874746600646e-05
original_glcm_InverseVariance_Complete,0.0,1.570543165145385e-113,0.006256257968096145,1.738650376908008e-19,9.04049068025972e-21,1.4282392881041656e-34,0.17695994803511172,0.21820141468761167,0.2717339430184188,0.0042308692083504644,1.7954722059630507e-06,6.995621143352025e-20,2.248232583439571e-29
original_glcm_JointAverage_Complete,1.8599951784491799e-22,5.4681482827540134e-15,0.06515438389566425,1.8871157293413497e-07,0.0013423333201993029,2.1479931364189206e-07,0.5113715798614996,0.12427992078891549,0.3444146897963486,0.7155519051836466,0.06535024017887153,4.977771432110094e-07,8.461172348668834e-06
original_glcm_JointEnergy_Complete,0.0,5.4630390324413875e-40,0.023340777173749983,3.1729449706439684e-09,3.485707079816826e-05,6.936999714219803e-28,0.34805919171763544,0.2748843246868605,0.28203473986443583,1.1341551392301483e-06,4.8064094739364295e-05,1.592014162263017e-10,2.3774594114810318e-21
original_glcm_JointEntropy_Complete,1.5213523204533332e-90,4.7917071691944324e-23,0.1420026287308546,1.9587123078727033e-10,5.517904055757697e-08,4.604476329966133e-13,0.5714063728464098,0.5272880281353105,0.4845490920683484,2.0779507707866142e-08,0.0014912237936362184,1.9575520591045412e-11,2.728362716293779e-13
