,0,1,2,3
original_firstorder_Variance_L3,-1048.1366341900105,-996.4458257027683,-723.7633223805062,-647.7329224435764
original_firstorder_Variance_L4,-1012.2652293891674,-975.5286735981349,-717.8409114318794,-649.2854309761127
original_firstorder_Variance_L5,-941.0336559961072,-915.8112670312581,-666.1207247779911,-607.3210601721785
original_firstorder_Variance_Complete,-1001.6893435319885,-971.2762716506498,-683.458536217984,-625.7069441944683
original_glcm_Autocorrelation_L1,-4.477265326667181,-3.429157163517894,0.265470656927074,-2.52918886547542
original_glcm_Autocorrelation_L2,1.9664970309963914,-4.0041847431023445,12.422835244495337,10.194888256368149
original_glcm_Autocorrelation_L3,-1.171068869159731,-6.383018843599073,-4.547692244331901,-5.528202077015153
original_glcm_Autocorrelation_L4,0.36002974751348693,-7.091161630239088,23.601707569546775,13.479512114169852
original_glcm_Autocorrelation_L5,-4.0185093563739045,-7.3764833502709175,24.809890113111056,13.255193358555774
original_glcm_Autocorrelation_Complete,-1.2784196578578795,-7.015522038318806,24.136124116244403,13.685331013493169
original_glcm_ClusterProminence_L1,-59324.33112173913,-55692.69857514532,-29896.947039409897,-26136.588800862686
original_glcm_ClusterProminence_L2,-41399.57222562381,-36991.344313132664,-21854.189250326977,-17382.831576630317
original_glcm_ClusterProminence_L3,-46506.48557866764,-41356.5790835585,-25186.868343121867,-20224.768164635487
original_glcm_ClusterProminence_L4,-44443.13190062965,-39941.675621439106,-24739.738115683725,-19965.47526443075
original_glcm_ClusterProminence_L5,-40952.626592377324,-36788.60799313497,-22238.939559045564,-17726.198452450466
original_glcm_ClusterProminence_Complete,-47176.35608725738,-42737.785670497295,-25098.00997185107,-20573.10182582201
original_glcm_ClusterShade_L1,-444.9105609922554,-429.17692521094904,-262.94447751716575,-236.74756370436754
original_glcm_ClusterShade_L2,-330.3488797171837,-308.7825648015806,-205.90117127641815,-170.86569728303957
original_glcm_ClusterShade_L3,-356.3752387391852,-335.57195252758845,-229.73398776897562,-193.68026992512463
original_glcm_ClusterShade_L4,-330.0760063445903,-312.4119911997867,-221.26622975098368,-185.79785060684455
original_glcm_ClusterShade_L5,-319.4549056054028,-300.4809448719807,-204.4502541102834,-170.4378270466594
original_glcm_ClusterShade_Complete,-360.8364309701259,-341.23331604062986,-227.55280491330078,-193.98640516914222
original_glcm_ClusterTendency_L1,-6.9529572009254625,-6.651074168216097,-4.337397874257218,-4.184080586291979
original_glcm_ClusterTendency_L2,-5.8675201840215605,-5.584412960830391,-3.8439292994541328,-3.503939058213562
original_glcm_ClusterTendency_L3,-6.706880506741217,-6.311767451983808,-4.481073948010509,-4.123277384942058
original_glcm_ClusterTendency_L4,-6.553082419549191,-6.175024237626518,-4.476194219955655,-4.134002110739218
original_glcm_ClusterTendency_L5,-6.202239355781979,-5.8280778442225465,-4.226969368697283,-3.8987431201702436
original_glcm_ClusterTendency_Complete,-6.527450741521435,-6.176049956953307,-4.3059188915272095,-4.003825019605654
original_glcm_Contrast_L1,-0.00902460095104676,-0.1188205261591297,-0.1054201271779752,-0.13191337052944263
original_glcm_Contrast_L2,-0.13163289082875126,-0.1518909256263301,-0.2621331212737885,-0.17843309386738815
original_glcm_Contrast_L3,-0.228791282144661,-0.2011596933231202,-0.3496256815911669,-0.23632668634447765
original_glcm_Contrast_L4,-0.18494844791862294,-0.19661558854510675,-0.3446210144855784,-0.2444727990157264
original_glcm_Contrast_L5,-0.07235886663407085,-0.1609948933881197,-0.2842009667601725,-0.21414625471639348
original_glcm_Contrast_Complete,-0.12545765136773968,-0.16493161646951973,-0.2645504338653066,-0.1983618938489856
original_glcm_Correlation_L1,-0.00144477638681695,-0.00044974879828973535,-0.0012208413849381051,-0.0005211658921511393
original_glcm_Correlation_L2,-0.0013727970816572563,-0.0004405904629216265,-0.001111273740277948,-0.0005002543509487964
original_glcm_Correlation_L3,-0.0012314685739518872,-0.0004185824093307392,-0.0010421053982382577,-0.0004646463915939742
original_glcm_Correlation_L4,-0.001279138761020224,-0.00041539907488776927,-0.0010152597998384567,-0.00043293799921520715
original_glcm_Correlation_L5,-0.001425137916155707,-0.0004396920367043054,-0.0010772801424354472,-0.00047180817836849727
original_glcm_Correlation_Complete,-0.0013480276205353893,-0.0004323792823749331,-0.0010920349948715846,-0.0004780128081107129
original_glcm_DifferenceAverage_L1,0.0025446147649117986,-0.00571917444533009,-0.0014121690343755113,-0.007275725445853529
original_glcm_DifferenceAverage_L2,-0.003221141244903968,-0.008182969133748302,-0.008100314063583408,-0.009931450249795807
original_glcm_DifferenceAverage_L3,-0.006915023374118941,-0.010342047784756092,-0.010000456084246299,-0.01213619787759798
original_glcm_DifferenceAverage_L4,-0.005528906225664692,-0.010187909690047835,-0.00966584349259074,-0.012433566882953823
original_glcm_DifferenceAverage_L5,0.00012151652777307403,-0.008414416044063348,-0.0074458142753409465,-0.011361990763295136
original_glcm_DifferenceAverage_Complete,-0.0026204254260932753,-0.008509959661479095,-0.007189073488455829,-0.01049774170337296
original_glcm_DifferenceEntropy_L1,0.0004777662221116515,-0.0020739017515472007,-0.00037102233661379845,-0.0025208300320566954
original_glcm_DifferenceEntropy_L2,-0.0008440732697302653,-0.0029562509524391663,-0.001957314937325393,-0.0034208341133547585
original_glcm_DifferenceEntropy_L3,-0.001540696679392797,-0.0033971771800440434,-0.002184395397617795,-0.003846319261069464
original_glcm_DifferenceEntropy_L4,-0.0012632532893036286,-0.0033301727983540467,-0.0021013305566316733,-0.003914285141798997
original_glcm_DifferenceEntropy_L5,-8.215107401545581e-05,-0.0028511378462024706,-0.0016496198440853246,-0.0036269083265850223
original_glcm_DifferenceEntropy_Complete,-0.0006910057843742836,-0.0029260372533142652,-0.0016527526007748396,-0.0034516925990351758
original_glcm_DifferenceVariance_L1,-0.03966503275454286,-0.07649670788318766,-0.0896922600349607,-0.07722712288307156
original_glcm_DifferenceVariance_L2,-0.09456984197491891,-0.09149670099253998,-0.16765333271637234,-0.10234981382541808
